Features, Accuracy
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 42 43 44 45 46 48
 50],69.9
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 47 48
 50],69.7
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48 49
 50],67.4
[ 1  2  3 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],67.5
[ 1  2  4 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],68.2
[ 1  2  5 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],67.8
[ 1  2  6 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],69.1
[ 1  2  7 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],67.5
[ 1  2  8 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],68.9
[ 1  2  9 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],69.5
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],67.4
[ 1  2 10 11 12 13 14 16 17 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],68.3
[ 1  2 10 11 12 13 14 16 18 19 20 21 22 23 27 29 33 34 39 41 43 44 45 46
 48 50],68.3
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 24 27 29 33 34 39 41 43 44 45 46
 48 50],67.8
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 25 27 29 33 34 39 41 43 44 45 46
 48 50],67.6
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 26 27 29 33 34 39 41 43 44 45 46
 48 50],67.6
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45 46
 48 50],69.6
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 30 33 34 39 41 43 44 45 46
 48 50],68.5
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 31 33 34 39 41 43 44 45 46
 48 50],68.5
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 32 33 34 39 41 43 44 45 46
 48 50],67.6
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 35 39 41 43 44 45 46
 48 50],67.3
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 36 39 41 43 44 45 46
 48 50],68.3
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 37 39 41 43 44 45 46
 48 50],66.9
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 38 39 41 43 44 45 46
 48 50],68.0
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 40 41 43 44 45 46
 48 50],67.3
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 42 43 44 45 46
 48 50],69.2
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 47
 48 50],69.1
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 49 50],68.4
[ 1  2  3 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],67.5
[ 1  2  4 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],68.9
[ 1  2  5 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],68.6
[ 1  2  6 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],68.2
[ 1  2  7 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],68.1
[ 1  2  8 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],67.0
[ 1  2  9 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],69.7
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],69.9
[ 1  2 10 11 12 13 14 16 17 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],69.1
[ 1  2 10 11 12 13 14 16 18 19 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 50],67.6
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 24 27 28 29 33 34 39 41 43 44 45
 46 48 50],68.0
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 25 27 28 29 33 34 39 41 43 44 45
 46 48 50],68.7
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 26 27 28 29 33 34 39 41 43 44 45
 46 48 50],66.3
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 30 33 34 39 41 43 44 45
 46 48 50],68.5
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 31 33 34 39 41 43 44 45
 46 48 50],69.1
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 32 33 34 39 41 43 44 45
 46 48 50],68.3
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 35 39 41 43 44 45
 46 48 50],68.2
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 36 39 41 43 44 45
 46 48 50],67.5
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 37 39 41 43 44 45
 46 48 50],67.7
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 38 39 41 43 44 45
 46 48 50],68.6
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 40 41 43 44 45
 46 48 50],67.3
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 42 43 44 45
 46 48 50],69.2
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45 46
 47 48 50],69.5
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45 46
 48 49 50],68.7
[ 1  2  3 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],69.2
[ 1  2  4 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],67.8
[ 1  2  5 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],68.9
[ 1  2  6 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],67.8
[ 1  2  7 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],66.5
[ 1  2  8 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],68.1
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],69.7
[ 1  2 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],69.6
[ 1  2 10 11 12 13 14 15 16 18 19 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 50],69.4
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 24 27 28 29 33 34 39 41 43 44
 45 46 48 50],68.9
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 25 27 28 29 33 34 39 41 43 44
 45 46 48 50],67.7
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 26 27 28 29 33 34 39 41 43 44
 45 46 48 50],67.4
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 30 33 34 39 41 43 44
 45 46 48 50],68.2
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 31 33 34 39 41 43 44
 45 46 48 50],69.6
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 32 33 34 39 41 43 44
 45 46 48 50],68.4
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 35 39 41 43 44
 45 46 48 50],67.2
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 36 39 41 43 44
 45 46 48 50],69.1
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 37 39 41 43 44
 45 46 48 50],67.5
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 38 39 41 43 44
 45 46 48 50],67.6
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 40 41 43 44
 45 46 48 50],69.6
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 42 43 44
 45 46 48 50],68.6
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 47 48 50],68.8
[ 1  2 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45
 46 48 49 50],67.9
[ 1  2  3  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],70.1
[ 1  2  4  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],68.1
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],70.4
[ 1  2  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],69.0
[ 1  2  7  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],68.0
[ 1  2  8  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],69.1
[ 1  2  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],69.6
[ 1  2  9 10 11 12 13 14 15 16 18 19 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 50],69.9
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 24 27 28 29 33 34 39 41 43
 44 45 46 48 50],68.9
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 25 27 28 29 33 34 39 41 43
 44 45 46 48 50],68.1
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 26 27 28 29 33 34 39 41 43
 44 45 46 48 50],68.9
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 30 33 34 39 41 43
 44 45 46 48 50],68.3
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 31 33 34 39 41 43
 44 45 46 48 50],70.2
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 32 33 34 39 41 43
 44 45 46 48 50],68.3
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 35 39 41 43
 44 45 46 48 50],67.1
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 36 39 41 43
 44 45 46 48 50],67.9
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 37 39 41 43
 44 45 46 48 50],69.1
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 38 39 41 43
 44 45 46 48 50],68.8
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 40 41 43
 44 45 46 48 50],68.9
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 42 43
 44 45 46 48 50],69.2
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 47 48 50],70.2
[ 1  2  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44
 45 46 48 49 50],69.1
[ 1  2  3  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 50],69.9
[ 1  2  4  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 50],70.6
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 50],71.0
[ 1  2  5  7  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 50],68.7
[ 1  2  5  8  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 50],69.3
[ 1  2  5  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 50],69.7
[ 1  2  5  9 10 11 12 13 14 15 16 18 19 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 50],70.3
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 24 27 28 29 33 34 39 41
 43 44 45 46 48 50],68.0
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 25 27 28 29 33 34 39 41
 43 44 45 46 48 50],68.5
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 26 27 28 29 33 34 39 41
 43 44 45 46 48 50],68.4
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 30 33 34 39 41
 43 44 45 46 48 50],69.8
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 31 33 34 39 41
 43 44 45 46 48 50],70.3
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 32 33 34 39 41
 43 44 45 46 48 50],67.9
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 35 39 41
 43 44 45 46 48 50],67.6
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 36 39 41
 43 44 45 46 48 50],68.6
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 37 39 41
 43 44 45 46 48 50],68.7
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 38 39 41
 43 44 45 46 48 50],68.7
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 40 41
 43 44 45 46 48 50],69.5
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 42
 43 44 45 46 48 50],69.8
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 47 48 50],68.5
[ 1  2  5  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41 43
 44 45 46 48 49 50],68.9
[ 1  2  3  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 48 50],71.2
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 48 50],71.0
[ 1  2  5  6  7  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 48 50],70.9
[ 1  2  5  6  8  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 48 50],70.3
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 48 50],71.8
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 19 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 48 50],71.1
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 24 27 28 29 33 34 39
 41 43 44 45 46 48 50],69.2
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 25 27 28 29 33 34 39
 41 43 44 45 46 48 50],69.5
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 26 27 28 29 33 34 39
 41 43 44 45 46 48 50],70.1
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 30 33 34 39
 41 43 44 45 46 48 50],69.8
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 31 33 34 39
 41 43 44 45 46 48 50],71.6
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 32 33 34 39
 41 43 44 45 46 48 50],68.3
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 35 39
 41 43 44 45 46 48 50],68.4
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 36 39
 41 43 44 45 46 48 50],69.3
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 37 39
 41 43 44 45 46 48 50],70.1
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 38 39
 41 43 44 45 46 48 50],69.6
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 40
 41 43 44 45 46 48 50],69.0
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 42 43 44 45 46 48 50],70.2
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 47 48 50],69.9
[ 1  2  5  6  9 10 11 12 13 14 15 16 18 20 21 22 23 27 28 29 33 34 39 41
 43 44 45 46 48 49 50],69.4
[ 1  2  3  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 41 43 44 45 46 48 50],71.0
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 41 43 44 45 46 48 50],71.6
[ 1  2  5  6  7  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 41 43 44 45 46 48 50],71.6
[ 1  2  5  6  8  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 41 43 44 45 46 48 50],70.1
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 27 28 29 33 34
 39 41 43 44 45 46 48 50],70.2
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33 34
 39 41 43 44 45 46 48 50],70.0
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 25 27 28 29 33 34
 39 41 43 44 45 46 48 50],70.7
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 26 27 28 29 33 34
 39 41 43 44 45 46 48 50],70.3
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 30 33 34
 39 41 43 44 45 46 48 50],70.2
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 31 33 34
 39 41 43 44 45 46 48 50],70.8
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 32 33 34
 39 41 43 44 45 46 48 50],69.2
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 35
 39 41 43 44 45 46 48 50],68.6
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 36
 39 41 43 44 45 46 48 50],69.3
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 37
 39 41 43 44 45 46 48 50],70.5
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 38
 39 41 43 44 45 46 48 50],69.4
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39
 40 41 43 44 45 46 48 50],70.1
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39
 41 42 43 44 45 46 48 50],70.8
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 47 48 50],70.2
[ 1  2  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34 39
 41 43 44 45 46 48 49 50],70.7
[ 1  2  3  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33
 34 39 41 43 44 45 46 48 50],70.6
[ 1  2  4  5  6  7  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33
 34 39 41 43 44 45 46 48 50],70.5
[ 1  2  4  5  6  8  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33
 34 39 41 43 44 45 46 48 50],70.4
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 27 28 29 33
 34 39 41 43 44 45 46 48 50],70.3
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 39 41 43 44 45 46 48 50],71.2
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 25 27 28 29 33
 34 39 41 43 44 45 46 48 50],70.2
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 26 27 28 29 33
 34 39 41 43 44 45 46 48 50],69.4
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 30 33
 34 39 41 43 44 45 46 48 50],70.6
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 31 33
 34 39 41 43 44 45 46 48 50],69.8
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 32 33
 34 39 41 43 44 45 46 48 50],69.5
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 35 39 41 43 44 45 46 48 50],69.0
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 36 39 41 43 44 45 46 48 50],68.9
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 37 39 41 43 44 45 46 48 50],70.9
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 38 39 41 43 44 45 46 48 50],68.8
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 40 41 43 44 45 46 48 50],68.9
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 41 42 43 44 45 46 48 50],69.4
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 41 43 44 45 46 47 48 50],71.1
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 27 28 29 33 34
 39 41 43 44 45 46 48 49 50],70.5
[ 1  2  3  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 48 50],69.9
[ 1  2  4  5  6  7  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 48 50],71.4
[ 1  2  4  5  6  8  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 48 50],71.3
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 48 50],70.0
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 27 28 29
 33 34 39 41 43 44 45 46 48 50],70.4
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29
 33 34 39 41 43 44 45 46 48 50],69.3
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 30
 33 34 39 41 43 44 45 46 48 50],70.0
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 31
 33 34 39 41 43 44 45 46 48 50],69.3
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 32
 33 34 39 41 43 44 45 46 48 50],69.7
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 35 39 41 43 44 45 46 48 50],68.2
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 36 39 41 43 44 45 46 48 50],69.5
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 37 39 41 43 44 45 46 48 50],71.8
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 38 39 41 43 44 45 46 48 50],68.9
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 39 40 41 43 44 45 46 48 50],69.3
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 39 41 42 43 44 45 46 48 50],70.1
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 39 41 43 44 45 46 47 48 50],71.9
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 39 41 43 44 45 46 48 49 50],70.0
[ 1  2  3  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 47 48 50],70.5
[ 1  2  4  5  6  7  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 47 48 50],71.2
[ 1  2  4  5  6  8  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 47 48 50],71.3
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 27 28 29
 33 34 39 41 43 44 45 46 47 48 50],71.1
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 27 28 29
 33 34 39 41 43 44 45 46 47 48 50],71.4
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29
 33 34 39 41 43 44 45 46 47 48 50],70.4
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 30
 33 34 39 41 43 44 45 46 47 48 50],71.1
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 31
 33 34 39 41 43 44 45 46 47 48 50],70.6
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 32
 33 34 39 41 43 44 45 46 47 48 50],70.9
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 35 39 41 43 44 45 46 47 48 50],69.5
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 36 39 41 43 44 45 46 47 48 50],70.4
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 37 39 41 43 44 45 46 47 48 50],70.9
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
 34 38 39 41 43 44 45 46 47 48 50],69.7
[ 1  2  4  5  6  9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 27 28 29 33
